,PID,Department,Name,ID,Instrument Breakdown Date,Contact Time,Suport Time,Complete Time,Type,Detail,Action,Offline/ Online Support,Suport Persion,Contact Persion,Current Status,Note,Test affected during breakdown (yes/No),Name of the test affected,No of test affected,Image,File,Unnamed: 21
0,46288622,GLP,Tube Assecssment Module,TAM,2023-08-09 11:38:00,2023-08-09 11:38:00,2023-08-09 11:38:00,2023-08-09 11:45:00,Breakdown,Finger's rubber torned,Change finger,Offline,BME,BME,Done,,0.0,,,report_Images/46288622.Image.044707.jpg,,
1,a733af57,GLP,Cars and Track,CTR,2023-08-04 15:45:00,2023-08-04 15:45:00,2023-08-04 15:45:00,2023-08-04 16:25:00,Maintenance,Prevent Maintenance,Maintenance,Offline,BME,BME,Done,,0.0,,,,,
2,f46db097,Molecular Biology,KingFisher Presto,KFP-01,2023-08-02 15:09:00,2023-08-02 15:09:00,2023-08-02 15:12:00,2023-08-02 15:49:00,Breakdown,Heater out of possition,"Handle to keep going process; clean axis, repower device",Offline,BME,BME,Done,,0.0,,,,,
3,7fb5063d,GLP,Cars and Track,CTR,2023-08-01 14:10:00,2023-08-01 14:10:00,2023-08-01 14:10:00,2023-08-01 15:00:00,Breakdown,Nodes disconnected,"Check segment, connecting cables; repower, reconnect",Online,Mr. Hoàng,BME,Follow up,Need check log,0.0,,,report_Images/7fb5063d.Image.080429.jpg,,
4,63ca6d1b,GLP,Tube Assecssment Module,TAM,2023-07-28 11:57:00,2023-07-28 11:57:00,2023-07-28 11:59:00,2023-07-28 12:11:00,Breakdown,Finger cut through tube cap,"Take out, clean, re initialize",Offline,BME,BME,Done,,0.0,,,report_Images/63ca6d1b.Image.051649.jpg,,
5,31,GLP,Cars and Track,CTR,2023-07-28 11:00:00,2023-07-28 11:00:00,2023-07-28 11:00:00,2023-07-28 12:00:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
6,9d704970,GLP,SAL User Interface,LAS-UI1,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/9d704970.Image.093305.png,report_Files_/9d704970.File.093305.pdf,
7,cf93008a,GLP,SAL User Interface,LAS-UI2,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/cf93008a.Image.093735.png,report_Files_/cf93008a.File.093735.pdf,
8,d0ebf150,GLP,SAL User Interface,LAS-UI3,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/d0ebf150.Image.093414.png,report_Files_/d0ebf150.File.093414.pdf,
9,e7492a43,GLP,Rack Builder Module,RBM-C8000,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/e7492a43.Image.093613.png,report_Files_/e7492a43.File.093613.pdf,
10,076608ae,GLP,Storage on SM,STORE-01,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/076608ae.Image.093101.png,report_Files_/076608ae.File.093101.pdf,
