,ID,Name,Department,Major/Minor,Date,Frequency,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2023/12
0,LT-005,Centrifuge,AO,Major,2023/02,12,,True,,,,,,,,,,
1,LT-006,Centrifuge,AO,Major,2023/02,12,,True,,,,,,,,,,
2,LT-011,Centrifuge,AO,Major,2023/04,12,,,,True,,,,,,,,
3,LT-012,Centrifuge,AO,Major,2023/04,12,,,,True,,,,,,,,
4,PP-06,Pipette,AO,Minor,2023/02,12,,True,,,,,,,,,,
5,TL-009,Refrigerator,AO,Major,2023/02,12,,True,,,,,,,,,,
6,AK-01,Thermal hygrometer,Bio-Immuno,Minor,2023/05,12,,,,,True,,,,,,,
7,AK-04,Thermal hygrometer,Bio-Immuno,Minor,2023/05,12,,,,,True,,,,,,,
8,AK-05,Thermal hygrometer,Bio-Immuno,Minor,2023/05,12,,,,,True,,,,,,,
9,AKĐT-1,Electronic hygrometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
10,LTL-01,Cold centrifuge,Bio-Immuno,Major,2023/04,12,,,,True,,,,,,,,
11,ML- 01,VORTEX machine,Bio-Immuno,Minor,2023/04,12,,,,True,,,,,,,,
12,NK-02,Thermometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
13,NK-11,Thermometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
14,NKĐT-2,Electronic thermometer,Bio-Immuno,Minor,2023/02,12,,,,,,,,,,,,
15,NKĐT-3,Electronic thermometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
16,NKĐT-4,Electronic thermometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
17,NKĐT-5,Electronic thermometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
18,NKĐT-6,Electronic thermometer,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
19,PP-09,Pippette,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
20,PP-23,Pippette,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
21,PP-24,Pippette,Bio-Immuno,Minor,2023/02,12,,True,,,,,,,,,,
22,TL-002,Refrigerator Sanyo ,Bio-Immuno,Major,2023/04,12,,,,True,,,,,,,,
23,TL-005,Refrigerator,Bio-Immuno,Major,2023/02,12,,True,,,,,,,,,,
24,TL-010,Refrigerator PANASONIC,Bio-Immuno,Major,2023/04,12,,,,True,,,,,,,,
25,TL-011,Refrigerator HAIER,Bio-Immuno,Major,2023/04,12,,,,True,,,,,,,,
26,TL-06,Refrigerator -20oC,Bio-Immuno,Major,2023/02,12,,True,,,,,,,,,,
27,FH-01,FUME HOOD,Cyto Lab,Major,2023/04,12,,,,True,,,,,,,,
28,OVEN-01,OVEN,Cyto Lab,Major,2023/04,12,,,,True,,,,,,,,
29,ELISA-02,DAR800,ELISA,Major,2023/05,12,,,,,True,,,,,,,
30,ML-02,VORTEX machine,ELISA,Minor,2023/04,12,,,,True,,,,,,,,
31,MU-01,Dry heat block machine,ELISA,Minor,2023/02,12,,True,,,,,,,,,,
32,MU-02,Dry heat block machine,ELISA,Minor,2023/02,12,,True,,,,,,,,,,
33,NK-10,Liquid in glass Thermometer,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
34,NK-12,Liquid in glass Thermometer,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
35,NK-14,Liquid in glass Thermometer,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
36,NKĐT-7,Electronic thermometer,ELISA,Minor,2023/02,12,,True,,,,,,,,,,
37,PP- 04,Humanpette 50 microlite,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
38,PP-002,Finnpipette 50 microlite,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
39,PP-006,Finnpippet 500 microlite,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
40,PP-008,Pippette,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
41,PP-12,Pipette proline,ELISA,Minor,2023/05,12,,,,,True,,,,,,,
42,PP-13 ,Pipet,ELISA,Minor,2023/02,12,,True,,,,,,,,,,
43,PP-17,Pippet 100 microlite (fixed),ELISA,Minor,2023/02,12,,True,,,,,,,,,,
44,PP-21,Pippet 100-1000 microlite,ELISA,Minor,2022/11,12,,,,,,,,,,,,
45,PP-22,Pippet 30-300 microlit,ELISA,Minor,2022/11,12,,,,,,,,,,,,
46,TL-007,Refrigerator SANAKY,ELISA,Major,2023/04,12,,,,True,,,,,,,,
47,TU-02,INCUBATOR,ELISA,Minor,2023/04,12,,,,True,,,,,,,,
48,LT-008,Hermle Centrifuge,GLP,Minor,2022/11,12,,,,,,,,,,,,
