,ID,Name,Department,Major/Minor,Date,Frequency,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2023/12
0,Tempus600,Tempus,AO,Major,2023/03,3,,,True,,,,,,,,,
1,AC-1,Alinity C,Bio-Immuno,Major,2023/01,3,True,,,,,,,,,,,
2,AC-2,Alinity C,Bio-Immuno,Major,2023/02,3,,True,,,,,,,,,,
3,AC-3,Alinity C,Bio-Immuno,Major,2023/04,3,,,True,True,,,,,,,,
4,AI-1,Alinity I,Bio-Immuno,Major,2023/01,3,True,,,,,,,,,,,
5,AI-2,Alinity I,Bio-Immuno,Major,2023/02,3,,True,,,,,,,,,,
6,AI-3,Alinity I,Bio-Immuno,Major,2023/03,3,,,True,,,,,,,,,
7,AI-4,Alinity I,Bio-Immuno,Major,2023/03,3,,,True,,,,,,,,,
8,Core 4,Cobas8000 CORE MODULE,Bio-Immuno,Minor,2023/05,6,,,,,True,,,,,,,
9,MD-08,Immulite,Bio-Immuno,Major,2023/03,6,,,True,,,,,,,,,
10,MD-09,Cobas e801 Analytical unit,Bio-Immuno,Major,2023/05,3,,True,,,True,,,,,,,
11,RO-HP,RO system Abbott,Bio-Immuno,Minor,2023/05,3,,,,,,,,,,,,
12,RO-MB,RO system Roche,Bio-Immuno,Minor,2023/06,3,,True,,,False,True,,,,,,
13,RSM-1,RSM,Bio-Immuno,Minor,2022/12,3,,,,,,,,,,,,
14,RSM-2,RSM,Bio-Immuno,Minor,2022/12,3,,,,,,,,,,,,
15,RSM-3,RSM,Bio-Immuno,Minor,2022/12,3,,,,,,,,,,,,
16,FH-01,FUME HOOD,Cyto Lab,Major,2023/07,3,True,,,True,,,True,,,,,
17,KHV-01,MICROSCOPY,Cyto Lab,Major,2023/03,12,,,True,,,,,,,,,
18,OVEN-01,OVEN,Cyto Lab,Major,2023/07,3,True,,,True,,,True,,,,,
19,PT-01,PATHTEZT PROCESSOR ,Cyto Lab,Major,2023/03,3,,,True,,,,,,,,,
20,ELISA-01,DAW50,ELISA,Major,2023/07,3,,,True,,,False,True,,,,,
21,ELISA-02,DAR800,ELISA,Major,2023/07,3,,,True,,,False,True,,,,,
22,ELISA-03,DAW50TS,ELISA,Major,2023/07,3,,,True,,,False,True,,,,,
23,ELISA-04,IMMUNOMAT,ELISA,Major,2023/03,3,,,True,,,,,,,,,
24,ELISA-05,IMMUNOMAT,ELISA,Major,2023/03,3,,,True,,,,,,,,,
25,CTR,Cars and Track,GLP,Major,2023/07,0,,True,True,True,True,True,True,True,,,,
26,DM-01,Decaper Module Double,GLP,Major,2023/03,3,,,True,,,False,True,,,,,
27,IOM_TIO-01,Tempus Module,GLP,Major,2023/03,3,,,True,,,False,True,,,,,
28,IOM_TIO-02,Tempus Module,GLP,Major,2023/03,3,,,True,,,False,True,,,,,
29,IOM-02,Input/ Output Module,GLP,Major,2023/07,3,,,True,,,False,True,,,,,
30,IOM-03,Input/ Output Module,GLP,Major,2023/07,3,,,True,,,False,True,,,,,
31,LAS-UI1,SAL User Interface,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
32,LAS-UI2,SAL User Interface,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
33,LAS-UI3,SAL User Interface,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
34,LM-01,Loader Module,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
35,LT-008,Hermle Centrifuge,GLP,Minor,2022/12,3,,,,,,,,,,,,
36,LT-009,Hermle Centrifuge,GLP,Minor,2022/12,3,,,,,,,,,,,,
37,LT-010,Hermle Centrifuge,GLP,Minor,2022/12,3,,,,,,,,,,,,
38,RBM-C8000,Rack Builder Module,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
39,REM-01,Remover Cap Module,GLP,Major,2023/03,3,,,True,,,False,True,,,,,
40,REU-01,Rack Extension Unit,GLP,Major,2022/12,3,,,,,,,,,,,,
41,RM-01,Recapper Module,GLP,Major,2023/03,3,,,True,,,False,True,,,,,
42,STORE-01,Storage on SM,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
43,STR-01,Stramax Connect Module,GLP,Minor,2023/07,3,,True,,,False,,True,,,,,
44,TAC1,Tube Assecssment Center,GLP,Minor,2023/03,3,,,True,,,,,,,,,
45,TAC2,Tube Assecssment Center,GLP,Minor,2023/07,3,False,,,False,,,True,,,,,
46,TAM,Tube Assecssment Module,GLP,Minor,2023/03,3,,,True,,,False,True,,,,,
47,TOS-01,Tosho Connect Module,GLP,Minor,2023/02,3,,True,,,False,,True,,,,,
48,ABO-01,Automated Blood typing machine,Hematology - Coagulation,Major,2023/05,3,,False,,,True,,,,,,,
49,DD-03,Minicap Flex Piercing,Hematology - Coagulation,Major,2023/04,4,,,,True,,,,,,,,
50,DM-03,STA R MAX 3,Hematology - Coagulation,Major,2023/03,4,,,True,,,,,,,,,
51,HbA1c-01,Tosoh HLC-723 G11 analyzer,Hematology - Coagulation,Major,2023/06,3,,True,,,False,True,,,,,,
52,HbA1c-02,Tosoh HLC-723 G11 LA analyzer,Hematology - Coagulation,Major,2023/06,3,,,False,,,True,,,,,,
53,Hq-1,Alinity H-series,Hematology - Coagulation,Major,2023/06,3,,,True,,,True,,,,,,
54,Hq-2,Alinity H-series,Hematology - Coagulation,Major,2023/06,3,,,True,,,True,,,,,,
55,KHV-02,Microcope NIKON,Hematology - Coagulation,Major,2023/05,12,,,,,True,,,,,,,
56,Rida,Rida qLine Allergy,Hematology - Coagulation,Major,2023/04,6,,,,True,,,,,,,,
57,GR-01,Previ color gram ,Microbiology,Major,2023/06,3,,True,,,False,True,,,,,,
58,HP-01,HeliFan Plus C13,Microbiology,Major,2023/07,3,,,True,,,False,True,,,,,
59,KHV-03,Microscope,Microbiology,Major,2023/05,12,,,,,True,,,,,,,
60,UF-01,Urine Cell Analyzer UF-4000,Microbiology,Major,2023/03,6,,,True,,,,,,,,,
61,ALNM-01,Alinity m ,Molecular Biology,Major,2022/01,6,,,,,,,,,,,,
62,ALPS,Automated Laboratory Plate Sealer,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
63,Ben,Bentrack,Molecular Biology,Major,2023/06,6,,,,,,True,,,,,,
64,KFF-01,KingFisher Flex,Molecular Biology,Major,2023/01,6,True,,,,,,,,,,,
65,KFP-01,KingFisher Presto,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
66,KFP-02,KingFisher Presto,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
67,KFP-03,KingFisher Presto,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
68,KFP-04,KingFisher Presto,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
69,MC-01,Agilent Microplate Centrifuge,Molecular Biology,Major,2023/06,6,,,,,,True,,,,,,
70,MDC-01,MultiDrop ComBI,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
71,MDC-02,MultiDrop ComBI,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
72,MDC-03,MultiDrop ComBI ,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
73,MPW-01,Microplate Washer,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
74,NH-04,Autoclaves,Molecular Biology,Major,2022/03,6,,,,,,,,,,,,
75,Spinnaker,Spinnaker Microplate Robot,Molecular Biology,Major,2023/06,6,True,,,,,True,,,,,,
76,TC-02,TECAN,Molecular Biology,Major,2022/11,12,,,,,,,,,,,,
